stop_id,stop_code,stop_name,stop_lat,stop_lon
543,"s643","Tržaška - Ptujska","46.538819","15.647020"
544,"s644","Europark Titov most","46.554466","15.650609"
545,"s645","Morski jarek - Rošpoh","46.609280","15.638130"
546,"s646","Morski jarek - Rošpoh","46.609330","15.638470"
547,"s647","Morski jarek - Kozjak","46.609503","15.631009"
564,"s648","Šarhova","46.553220","15.617300"
633,"s905","Glavni trg - Rotovž","46.557371","15.645791"
634,"s906","Glavni trg - Rotovž","46.557431","15.645841"
635,"s907","Strossmayerjeva - tržnica","46.558601","15.641611"
636,"s908","UKC - Europark","46.551291","15.652211"
637,"s909","Europark","46.554431","15.651911"
642,"s921","Zdravstveni dom Tezno","46.533936","15.675329"
643,"s910","TABOR - Jadranska","46.536917","15.643153"
644,"s914","Oš Franca Rozmana Staneta","46.563141","15.655271"
645,"s920","Zdravstveni dom Tezno","46.533271","15.674474"
646,"s912","Dom pod gorco","46.556241","15.611421"
647,"s913","Dom pod gorco","46.555861","15.612571"
648,"s915","Maribox","46.557201","15.653321"
649,"s935","Turnerjeva","46.562925","15.630317"
650,"s911","Cankarjeva","46.560961","15.653141"
651,"s916","Maribox","46.557144","15.652877"
654,"s927","MČ Pobrežje","46.549011","15.667261"
655,"s917","Mladinska - Vrbanska","46.564861","15.634671"
656,"s924","Vrbanska","46.561730","15.637112"
657,"s922","Teplyevo naselje","46.541091","15.602131"
658,"s923","Teplyevo naselje","46.541041","15.602081"
659,"s925","Vrbanska","46.562125","15.636867"
660,"s926","Supernova","46.545991","15.618611"
666,"s938","Na Poljanah - Prometna šola","46.552724","15.624305"
673,"s939","Limubška - Lesarska šola","46.555661","15.602791"
674,"s940","Karantanska","46.518471","15.686901"
675,"s941","Novo Pobrežje","46.548301","15.674211"
676,"s942","Tabor Jadranska","46.537261","15.643416"
677,"s943","Pekre","46.548661","15.595361"
678,"s944","Istrska","46.548701","15.669591"
679,"s945","Istrska","46.548521","15.668721"
680,"s946","Tržaška - Lidl","46.534411","15.646001"
